question_code,source_year,source_type,knowledge_point,question_text,answer_text,image_path,language,favourite
PGA-WEB-Q01,N/A,Website,Fundamental,"Write a C program to print your name, date of birth, and mobile number.
Expected Output:

Name   : Alexandra Abramov  
DOB    : July 14, 1975  
Mobile : 99-9999999999","#include <stdio.h>

int main()  
{
    // Print Name
    printf(""Name   : Alexandra Abramov\n""); 
    
    // Print Date of Birth
    printf(""DOB    : July 14, 1975\n""); 
    
    // Print Mobile Number
    printf(""Mobile : 99-9999999999\n""); 
    
    // Indicate successful execution
    return(0); 
}",,C,0
PGA-LAB02-Q01,2024,Lab Worksheet,Data Type Conversion; User Input; Arithmetic Operations; Output / String Formatting,"Pythagoras Solver
Using the existing right-angled triangle program as an example, write a program which takes two floating-point numbers from the user which represent the lengths of the two shortest sides of a right-angled triangle. The program should then calculate and print the length of the longest side.","#include <stdio.h>
#include <math.h>

int main() {
    double a, b, c;

    printf(""Enter the value for the adjacent side: "");
    scanf(""%lf"", &a);
    printf(""enter the value for the second side: "");
    scanf(""%lf"", &b);

    c = sqrt(a * a + b * b);

    printf(""the value for the longest side in the rectangle is: %.2f\n"", c);

    return 0;
}",,C,0
PGA-TUT01-Q01,2024,Tutorial,Type; Fundamental,"#include <stdio.h> 
#include <stdbool.h> 
int main() 
{ 
bool a = true; // true == 1
char x = ‘A’;  // ‘A’ == 65 
int b = 2;
float c = 3;
double d = 3.1415926;
b = b/3*c;
printf(“%d\n”, b);  // question 1
c = a/2.0*c;
printf(“%f\n”, c);  // question 2
d = d*2/a;
printf(“%f\n”, d);  // question 3
a = a+1;
printf(“%d\n”, a);  // question 4
x = x+1;
printf(“%c\n”, x);  // question 5
return 0; 
} ","1. 0
2. 1.500000
3. 6.283185
4. 1
5. B",,C,0
PGA-TUT01-Q02,2024,Tutorial,Type; Fundamental,Exercise 2 Write a program to compute the body mass index (BMI). Input variables are the weight (in kg) and height (in metre). Compute BMI by formula BMI= weight/(height*height);  Output in which category the user belongs to.,"#include <stdio.h>

int main() {
    float weight, height, bmi;

    // Prompt user for weight in kg
    printf(""Enter weight (in kg): "");
    scanf(""%f"", &weight);

    // Prompt user for height in metre
    printf(""Enter height (in metre): "");
    scanf(""%f"", &height);

    // Compute BMI using the formula: weight / (height * height)
    bmi = weight / (height * height);

    // Print the calculated BMI, rounded to two decimal places
    printf(""Your BMI is: %.2f\n"", bmi);

    // Determine and output the category based on the BMI value
    if (bmi <= 18.4) {
        printf(""Category: Underweight\n"");
    } else if (bmi <= 24.9) {
        // This condition implicitly means bmi > 18.4 and <= 24.9
        printf(""Category: Normal\n"");
    } else if (bmi <= 30.0) {
        // This condition implicitly means bmi > 24.9 and <= 30.0
        printf(""Category: Overweight\n"");
    } else {
        // Handles cases where bmi > 30.0
        printf(""Category: Obese\n"");
    }

    return 0;
}",pga_tut01_q02_img.png,C,0
PGA-TUT01-Q03,2024,Tutorial,"Type, Fundamental","Test these math functions in a program, understand the data types of parameters and return values.","#include <stdio.h>
#include <math.h> // Required for math functions

int main() {
    // Declaring variables of type 'double' as math functions expect floating-point numbers
    double positive_num = 4.7;
    double negative_num = -5.3;
    double base = 2.0;
    double exponent = 3.0;
    double perfect_square = 25.0;

    printf(""--- Testing Math Functions ---\n\n"");

    // 1. ceil() - Rounds up to the nearest integer
    printf(""1) ceil(%f)  = %f\n"", positive_num, ceil(positive_num));
    
    // 2. floor() - Rounds down to the nearest integer
    printf(""2) floor(%f) = %f\n"", positive_num, floor(positive_num));
    
    // 3. sqrt() - Calculates the square root
    printf(""3) sqrt(%f)  = %f\n"", perfect_square, sqrt(perfect_square));
    
    // 4. pow() - Calculates base raised to the power of exponent
    printf(""4) pow(%f, %f) = %f\n"", base, exponent, pow(base, exponent));
    
    // 5. fabs() - Returns the absolute (positive) value
    printf(""5) fabs(%f) = %f\n"", negative_num, fabs(negative_num));

    return 0;
}","pga_tut01_q03_img.,png",C,0
PGA-TUT02-Q01,2024,Tutorial,"Operators, Control and Iteration","Assume i=5, j=7, k=4 and m=-2.
What does each of the following print? 
a) printf(“%d”, i==5);
b) printf(“%d”, j!=3);
c) printf(“%d”, i>=5 && j<4);
d) printf(“%d”, !m && k>m);
e) printf(“%d”, !k || m);
f) printf(“%d”, k-m<j || 5-j>=k);
g) printf(“%d”, j+m<=i && !0);
h) printf(“%d”, !(j-m));
i)
printf(“%d”, !(k>m));
j)
printf(“%d”, !(j>k));","In C, a true condition evaluates to 1, and a false condition evaluates to 0. Additionally, any non-zero integer (such as -2 or 4) is inherently evaluated as ""true"", while 0 is evaluated as ""false"".

a) 1 (Explanation: 5 == 5 is true)

b) 1 (Explanation: 7 != 3 is true)

c) 0 (Explanation: 5 >= 5 is true, but 7 < 4 is false. 1 && 0 results in 0)

d) 0 (Explanation: m is -2 which is true/non-zero, so !m becomes 0. Since the left side of && is 0, the whole expression evaluates to 0)

e) 1 (Explanation: k is 4 so !k is 0. However, m is -2 (true). 0 || 1 evaluates to 1)

f) 1 (Explanation: k - m is 4 - (-2) = 6. 6 < 7 is true (1). Due to short-circuit evaluation of ||, the condition stops here and evaluates to 1)

g) 1 (Explanation: j + m is 7 - 2 = 5. 5 <= 5 is true (1). !0 is also true (1). 1 && 1 evaluates to 1)

h) 0 (Explanation: j - m is 7 - (-2) = 9, which is non-zero/true. !9 evaluates to 0)

i) 0 (Explanation: k > m is 4 > -2, which is true. !(1) evaluates to 0)

j) 0 (Explanation: j > k is 7 > 4, which is true. !(1) evaluates to 0)",,C,0
PGA-TUT02-Q02,2024,Tutorial,Control and Iteration,"What's the output of the program?
#include <stdio.h>
int main()
{ 
   int a = 10;
   if(!a)
       printf(""True\n"");
   else
       printf(""False\n"");
 while(a)
 {
     printf(“%d\n”, a);
      a--;
 }
}","1.	int a = 10; initializes the variable a to 10. In C, any non-zero integer is evaluated as ""true"".
2.	The if(!a) condition evaluates the logical NOT of a. Since a is 10 (true), !a becomes false (0). Therefore, the else block executes, printing False.
3.	The while(a) loop continues to execute as long as the condition a is non-zero (true).
4.	Inside the loop, it prints the current value of a and then decrements it by 1 (a--).
5.	The loop will print the values 10, 9, 8, 7, 6, 5, 4, 3, 2, 1.
6.	When a becomes 0, the condition while(0) evaluates to false, and the loop terminates.",,C,0
PGA-TUT02-Q03,2024,Tutorial,"Iteration, Simple Algorithms","
What does the following program do?
#include <stdio.h>
int main(void)
{
int x, i, j;
// prompt user for input
printf%s"", ""Enter an integer in the range 1-20:""); 
scanf (%d, &x); // read values for x
for (i = 1; i <= x; i++) {// count from 1 to x
for (j = 1; j <= x; j++) { // count from 1 to x
if (j==i)
printf(%c"",'@'); / output @
else
printf("" "");
} / end inner for
printf(""\n"");
} / end outer for
}// end of main","1.	It prompts the user to enter an integer x (intended to be between 1 and 20).
2.	It uses a nested for loop structure to iterate through rows (i) and columns (j), essentially creating an x by x grid.
3.	Inside the inner loop, the condition if (j == i) checks if the current row number is equal to the current column number. This mathematical condition represents the main diagonal of a square grid.
4.	If the condition is true, it prints the @ character. If false, it prints a blank space "" "".
5.	After completing one full row (the inner loop finishes), it prints a newline character \n to move to the next row. (Note: The provided code contains typographical syntax errors, such as missing quotes in scanf and printf, and single slashes for comments, which would prevent it from compiling successfully as-is.)",,C,0
PGA-TUT02-Q04,2024,Tutorial,"Fundamental, Control and Iteration",Design a program to create a menu like this:,"#include <stdio.h>

int main() {
    int choice;

    // A do-while loop ensures the menu is displayed at least once
    do {
        // Print the menu exactly as specified
        printf(""********************************\n"");
        printf(""* 1. Add a new record      *\n"");
        printf(""* 2. Delete a record       *\n"");
        printf(""* 3. Search a record       *\n"");
        printf(""* 4. Quit                  *\n"");
        printf(""********************************\n"");

        // Prompt the user for their choice
        printf(""Please enter your choice (1-4): "");
        scanf(""%d"", &choice);

        // Handle the user's input using a switch statement
        switch (choice) {
            case 1:
                printf(""[System] You selected: Add a new record.\n\n"");
                // Code to add a record would go here
                break;
            case 2:
                printf(""[System] You selected: Delete a record.\n\n"");
                // Code to delete a record would go here
                break;
            case 3:
                printf(""[System] You selected: Search a record.\n\n"");
                // Code to search a record would go here
                break;
            case 4:
                printf(""[System] Quitting the program. Goodbye!\n"");
                break;
            default:
                printf(""[System] Invalid input. Please enter a number between 1 and 4.\n\n"");
        }

    } while (choice != 4); // Loop continues until the user inputs 4

    return 0;
}",pga_tut02_q04_img.png,C,0
PGA-TUT03-Q01,2024,Tutorial,"Pointers and Arrays, Pointer 1","What's the output?
#include<stdio.h>
int main(int argc, char* argv[ ])
{
int a = 1;
int b = 2;
int *p1 = &a;
int *p2 = &b;
printf(“%d, %d”, *p1, *p2);
p1 = p2; 
*p1 = 3;
printf(“%d, %d”, a, b);
printf(“%d, %d”, *p1, *p2);
return 0;
8
}","The exact console output of this program (assuming standard ASCII quotes and ignoring the typo 8 at the end) will be:
1, 21, 33, 3

(Note: Because there are no newline characters \n in the printf statements, the outputs will be printed continuously on the same line. If newlines were present, it would print 1, 2, then 1, 3, then 3, 3).

Here is the step-by-step memory and execution breakdown:

1.	int a = 1; and int b = 2; initialize the integer variables.
2.	int *p1 = &a; assigns the memory address of a to pointer p1.
3.	int *p2 = &b; assigns the memory address of b to pointer p2.
4.	printf(""%d, %d"", *p1, *p2); dereferences the pointers to print the values they point to. It prints 1, 2.
5.	p1 = p2; changes the pointer p1 so that it now points to the same memory address as p2. Now, both p1 and p2 point to b.
6.	*p1 = 3; modifies the value at the memory address p1 is currently pointing to. Since p1 points to b, the value of b is updated from 2 to 3. The variable a remains 1.
7.	printf(""%d, %d"", a, b); prints the variables directly. a is 1 and b is 3. It prints 1, 3.
8.	printf(""%d, %d"", *p1, *p2); dereferences both pointers. Since they both point to b (which is now 3), it prints 3, 3.",,C,0
